Stat	ID
item_extrablood	140
item_deadlystrike	141
item_absorbfire_percent	142
item_absorbfire	143
item_absorblight_percent	144
item_absorblight	145
item_absorbmagic_percent	146
item_absorbmagic	147
item_absorbcold_percent	148
item_absorbcold	149
item_slow	150
item_aura	151
item_indesctructible	152
item_cannotbefrozen	153
item_staminadrainpct	154
item_reanimate	155
item_pierce	156
item_magicarrow	157
item_explosivearrow	158
item_throw_mindamage	159
item_throw_maxdamage	160
skill_handofathena	161
skill_staminapercent	162
skill_passive_staminapercent	163
skill_concentration	164
skill_enchant	165
skill_pierce	166
skill_conviction	167
skill_chillingarmor	168
skill_frenzy	169
skill_decrepify	170
skill_armor_percent	171
alignment	172
target0	173
target1	174
goldlost	175
conversion_level	176
conversion_maxhp	177
unit_dooverlay	178
attack_vs_montype	179
damage_vs_montype	180
fade	181
armor_override_percent	182
cubepoints	183
killcounter	184
unused185	185
unused186	186
dummy	187
item_addskill_tab	188
unused189	189
unused190	190
unused191	191
unused192	192
unused193	193
item_numsockets	194
item_skillonattack	195
item_skillonkill	196
item_skillondeath	197
item_skillonhit	198
item_skillonlevelup	199
unused200	200
item_skillongethit	201
unused202	202
unused203	203
item_charged_skill	204
unused204	205
unused205	206
unused206	207
unused207	208
unused208	209
unused209	210
unused210	211
unused211	212
unused212	213
item_armor_perlevel	214
item_armorpercent_perlevel	215
item_hp_perlevel	216
item_mana_perlevel	217
item_maxdamage_perlevel	218
item_maxdamage_percent_perlevel	219
item_strength_perlevel	220
item_dexterity_perlevel	221
item_energy_perlevel	222
item_vitality_perlevel	223
item_tohit_perlevel	224
item_tohitpercent_perlevel	225
item_cold_damagemax_perlevel	226
item_fire_damagemax_perlevel	227
item_ltng_damagemax_perlevel	228
item_pois_damagemax_perlevel	229
item_resist_cold_perlevel	230
item_resist_fire_perlevel	231
item_resist_ltng_perlevel	232
item_resist_pois_perlevel	233
item_absorb_cold_perlevel	234
item_absorb_fire_perlevel	235
item_absorb_ltng_perlevel	236
item_absorb_pois_perlevel	237
item_thorns_perlevel	238
item_find_gold_perlevel	239
item_find_magic_perlevel	240
item_regenstamina_perlevel	241
item_stamina_perlevel	242
item_damage_demon_perlevel	243
item_damage_undead_perlevel	244
item_tohit_demon_perlevel	245
item_tohit_undead_perlevel	246
item_crushingblow_perlevel	247
item_openwounds_perlevel	248
item_kick_damage_perlevel	249
item_deadlystrike_perlevel	250
item_find_gems_perlevel	251
item_replenish_durability	252
item_replenish_quantity	253
item_extra_stack	254
item_find_item	255
item_slash_damage	256
item_slash_damage_percent	257
item_crush_damage	258
item_crush_damage_percent	259
item_thrust_damage	260
item_thrust_damage_percent	261
item_absorb_slash	262
item_absorb_crush	263
item_absorb_thrust	264
item_absorb_slash_percent	265
item_absorb_crush_percent	266
item_absorb_thrust_percent	267
item_armor_bytime	268
item_armorpercent_bytime	269
item_hp_bytime	270
item_mana_bytime	271
item_maxdamage_bytime	272
item_maxdamage_percent_bytime	273
item_strength_bytime	274
item_dexterity_bytime	275
item_energy_bytime	276
item_vitality_bytime	277
item_tohit_bytime	278
item_tohitpercent_bytime	279
item_cold_damagemax_bytime	280
item_fire_damagemax_bytime	281
item_ltng_damagemax_bytime	282
item_pois_damagemax_bytime	283
item_resist_cold_bytime	284
item_resist_fire_bytime	285
item_resist_ltng_bytime	286
item_resist_pois_bytime	287
item_absorb_cold_bytime	288
item_absorb_fire_bytime	289
item_absorb_ltng_bytime	290
item_absorb_pois_bytime	291
item_find_gold_bytime	292
item_find_magic_bytime	293
item_regenstamina_bytime	294
item_stamina_bytime	295
item_damage_demon_bytime	296
item_damage_undead_bytime	297
item_tohit_demon_bytime	298
item_tohit_undead_bytime	299
item_crushingblow_bytime	300
item_openwounds_bytime	301
item_kick_damage_bytime	302
item_deadlystrike_bytime	303
item_find_gems_bytime	304
item_pierce_cold	305
item_pierce_fire	306
item_pierce_ltng	307
item_pierce_pois	308
item_damage_vs_monster	309
item_damage_percent_vs_monster	310
item_tohit_vs_monster	311
item_tohit_percent_vs_monster	312
item_ac_vs_monster	313
item_ac_percent_vs_monster	314
firelength	315
burningmin	316
burningmax	317
progressive_damage	318
progressive_steal	319
progressive_other	320
progressive_fire	321
progressive_cold	322
progressive_lightning	323
item_extra_charges	324
progressive_tohit	325
poison_count	326
damage_framerate	327
pierce_idx	328
passive_fire_mastery	329
passive_ltng_mastery	330
passive_cold_mastery	331
passive_pois_mastery	332
passive_fire_pierce	333
passive_ltng_pierce	334
passive_cold_pierce	335
passive_pois_pierce	336
passive_critical_strike	337
passive_dodge	338
passive_avoid	339
passive_evade	340
passive_warmth	341
passive_mastery_melee_th	342
passive_mastery_melee_dmg	343
passive_mastery_melee_crit	344
passive_mastery_throw_th	345
passive_mastery_throw_dmg	346
passive_mastery_throw_crit	347
passive_weaponblock	348
passive_summon_resist	349
modifierlist_skill	350
modifierlist_level	351
last_sent_hp_pct	352
source_unit_type	353
source_unit_id	354
shortparam1	355
questitemdifficulty	356
passive_mag_mastery	357
passive_mag_pierce	358
item_req_string	359
cubepoints_string	360
item_mindamage_percent_perlevel	361
item_magic_damagemax_perlevel	362
item_mindamage_perlevel	363
item_cold_damagemin_perlevel	364
item_fire_damagemin_perlevel	365
item_ltng_damagemin_perlevel	366
item_pois_damagemin_perlevel	367
item_magic_damagemin_perlevel	368
display_kills	369
item_vitality_perdexterity	370
item_resist_mag_perlevel	371
empty_string	372
item_strength_percent	373
item_dexterity_percent	374
item_vitality_percent	375
item_energy_percent	376
monster_damage1	377
monster_damage2	378
monster_att_def	379
monster_speed	380
monster_resist1	381
monster_resist2	382
item_thorns_percent	383
item_splashonhit	384
summon-damage	385
summon-life	386
max-skeleton	387
max-bear	388
max-valkyrie	389
max-raven	390
max-revive	391
max-wolf	392
max-trap	393
max-golem	394
max-shadow	395
max-vine	396
